"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1325","17:30 - 21:20","#82629: ","IS 309 J100: Special Topics I","Credit",,"AKMCKENZ",0,"17:30 - 21:20","1325","#82629: ","IS 309 J100: Special Topics I","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1415","09:30 - 13:20","#83236: ","GSWS 318 Special Topics","Credit",,"AKMCKENZ",0,"09:30 - 13:20","1415","#83236: ","GSWS 318 Special Topics","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1415","13:30 - 17:20","#82230: ","CMNS 487: Special Topics Communication","Credit",,"AKMCKENZ",0,"13:30 - 17:20","1415","#82230: ","CMNS 487: Special Topics Communication","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1415","18:00 - 21:30","#82036: ","MGMT115-VA1161 Organizational Behaviour","Non-Credit",,"AKMCKENZ",42,"18:00 - 21:30","1415","#82036: ","MGMT115-VA1161 Organizational Behaviour","Non-Credit",,"AKMCKENZ",42,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1425","10:00 - 12:30","#83973: ","Master of Publishing Program","Internal","MECS","DTA16",30,"10:00 - 12:30","1425","#83973: ","Master of Publishing Program","Internal","MECS","DTA16",30,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1425","13:30 - 17:20","#82652: ","POL 349: Selected Topis in International Relations","Credit",,"AKMCKENZ",0,"13:30 - 17:20","1425","#82652: ","POL 349: Selected Topis in International Relations","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1425","17:30 - 21:20","#82680: ","SA 100W J100: Perspectives on Canadian Society","Credit",,"AKMCKENZ",0,"17:30 - 21:20","1425","#82680: ","SA 100W J100: Perspectives on Canadian Society","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1500","09:00 - 15:30","#81212: ","CT975-VA1161 Kyungwoon 4-week Program","Non-Credit","MECS","CAC25",16,"09:00 - 15:30","1500","#81212: ","CT975-VA1161 Kyungwoon 4-week Program","Non-Credit","MECS","CAC25",16,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1500","17:30 - 21:20","#83977: ","SA 100W: Breakout Space #2 (Benita Bunjun) - HC 1500","Credit",,"CICSINFO",0,"17:30 - 21:20","1500","#83977: ","SA 100W: Breakout Space #2 (Benita Bunjun) - HC 1500","Credit",,"CICSINFO",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
"Event Bookings","by Space","Monday, January 25, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Monday, January 25, 2016","1505/15","11:30 - 14:20","#82550: ","CMNS 347 Communication in Conflict & Intervention Tutorials","Credit",,"AKMCKENZ",0,"11:30 - 14:20","1505/15","#82550: ","CMNS 347 Communication in Conflict & Intervention Tutorials","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:06
