"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,15:20,"Room 2540","Class",0,"PPL",,"#83077 ELC503-VA11611 ELC Full-Time Program","MECS","Audio/Visual Services:",,,1.0,"EA","Computer - PC, with Internet Connection",,,1.0,"EA","Computer - PC, with Internet Connection","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,15:20,"Room 2540","Class",0,"PPL",,"#83077 ELC503-VA11611 ELC Full-Time Program","MECS","Audio/Visual Services:",,,1.0,"EA","Data Projector",,,1.0,"EA","Data Projector","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,15:20,"Room 2925","Class",0,"PPL",,"#79698 ELC503-VA11611 ELC Full-Time Program","MECS","Audio/Visual Services:",,,1.0,"EA","Computer - PC, with Internet Connection",,,1.0,"EA","Computer - PC, with Internet Connection","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,15:20,"Room 2925","Class",0,"PPL",,"#79698 ELC503-VA11611 ELC Full-Time Program","MECS","Audio/Visual Services:",,,1.0,"EA","Data Projector",,,1.0,"EA","Data Projector","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,12:50,"Room 3000","Class - no signage",0,"PPL",,"#82261 PLCY 821 G100",,"Audio/Visual Services:",,,1.0,"EA","Computer - PC, with Internet Connection",,,1.0,"EA","Computer - PC, with Internet Connection","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,12:50,"Room 3000","Class - no signage",0,"PPL",,"#82261 PLCY 821 G100",,"Audio/Visual Services:",,,1.0,"EA","Data Projector",,,1.0,"EA","Data Projector","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,15:20,"Room 400","Class",0,"PPL",,"#79679 ELC503-VA11611 ELC Full-Time Program","MECS","Audio/Visual Services:",,,1.0,"EA","Computer - PC, with Internet Connection",,,1.0,"EA","Computer - PC, with Internet Connection","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,15:20,"Room 400","Class",0,"PPL",,"#79679 ELC503-VA11611 ELC Full-Time Program","MECS","Audio/Visual Services:",,,1.0,"EA","Data Projector",,,1.0,"EA","Data Projector","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,16:00,"Room 7060","Class",0,"PPL",,"#79059 Chinese/English Interpretation and Translation Diploma Program","MECS","Audio/Visual Services:",,,1.0,"EA","VHS/DVD Combo Package",,,1.0,"EA","VHS/DVD Combo Package","sfu_daily_ops_res_start_time.rpt"
"Harbour Centre",Jan-23-16,"Page 1 of 1",15:02,"Daily Resources by Setup Time","Monday, January 25, 2016","Audio/Visual Services","Caterer: Unknown","Monday, January 25, 2016","Start","End","Space","Function / Event","Attend /MECS Contact", 9:00,16:00,"Room 7060","Class",0,"PPL",,"#79059 Chinese/English Interpretation and Translation Diploma Program","MECS","Audio/Visual Services:",,,1.0,"EA","Portable Screen - Large (60"" x 60"")",,,1.0,"EA","Portable Screen - Large (60"" x 60"")","sfu_daily_ops_res_start_time.rpt"
